locationId	city	country	province	address	longitude	latitude	postalCode	keys
LOC0936	Phoenix	US	AZ	502 W Camelback Rd	-112.080609999999	33.510227		us/az/phoenix/502wcamelbackrd/-285131069
LOC0937	Pinetop	US	AZ	165 E White Mountain Blvd	-109.95358	34.13897	85935	us/az/pinetop/165ewhitemountainblvd/916549394
LOC0938	Pocomoke City	US	MD	825 Ocean Hwy	-75.594480000000004	38.081440000000001	21851	us/md/pocomokecity/825oceanhwy/1083197965
LOC0939	Port Aransas	US	TX	200 E Cotter Ave	-97.059438999999898	27.837679000000001	78373	us/tx/portaransas/200ecotterave/-548847841
LOC0940	Port Richey	US	FL	10619 Us 19	-82.7006599999999	28.31166	34668	us/fl/portrichey/10619us19/2013968587
LOC0941	Portage	US	IN	6200 US Highway 20	-87.180000000000007	41.598399999999899	46368	us/in/portage/6200ushighway20/2077541145
LOC0942	Portland	US	ME	468 Fore St	-70.255278000000004	43.655492000000002	4101	us/me/portland/468forest/-494415044
LOC0943	Kennesaw	US	GA	3375 Busbee Dr NW	-84.573784000000003	34.032859000000002	30144	us/ga/kennesaw/3375busbeedrnw/868385405
LOC0944	Key West	US	FL	417 Eaton St	-81.804289999999895	24.5567999999999		us/fl/keywest/417eatonst/-1562102974
LOC0945	Killdeer	US	ND	15 Mountain View St	-102.75508000000001	47.374090000000002	58640	us/nd/killdeer/15mountainviewst/-286533054
LOC0946	Kings Mountain	US	NC	722 York Rd	-81.333619999999897	35.22869	28086	us/nc/kingsmountain/722yorkrd/-18038134
LOC0947	Kiowa	US	KS	802 S 4th St	-98.489130000000003	37.008949999999899	67070	us/ks/kiowa/802s4thst/942021310
LOC0948	Koloa	US	HI	1571 Poipu Rd	-159.44011	21.876282	96756	us/hi/koloa/1571poipurd/-1303044432
LOC0949	La Conner	US	WA	107 S Second St	-122.49484	48.392074999999899	98257	us/wa/laconner/107ssecondst/1398192545
LOC0950	Lafayette	US	LA	1605 N University Ave	-92.036559999999895	30.24962	70506	us/la/lafayette/1605nuniversityave/378392598
LOC0951	Lafayette	US	LA	1801 W Pinhook Rd	-92.014499999999899	30.19294	70508	us/la/lafayette/1801wpinhookrd/611162840
LOC0952	LaGrange	US	GA	103 Wingate Ter	-84.964299999999895	33.042250000000003	30241	us/ga/lagrange/103wingateter/-1135939915
LOC0953	Lake Placid	US	NY	2625 Main St	-73.983530000000002	44.28407	12946	us/ny/lakeplacid/2625mainst/421712427
LOC0954	Lakeland	US	FL	4500 Lakeland Park Dr	-81.953211999999894	28.100625999999899	33809	us/fl/lakeland/4500lakelandparkdr/185351484
LOC0955	Las Vegas	US	NV	3275 Paradise Rd	-115.155525	36.130257	89109	us/nv/lasvegas/3275paradiserd/-147487177
LOC0956	Lebanon	US	MO	1221 Millcreek Rd	-92.643379999999894	37.683819999999898	65536	us/mo/lebanon/1221millcreekrd/1083197965
LOC0957	Linthicum Heights	US	MD	1160 Winterson Rd	-76.678430000000006	39.203710000000001	21090	us/md/linthicumheights/1160wintersonrd/-1931659157
LOC0958	Lockport	US	NY	515 S Transit St	-78.697000000000003	43.153100000000002	14094	us/ny/lockport/515stransitst/1741089920
LOC0959	Manitou Springs	US	CO	123 Manitou Ave	-104.89322	38.8575599999999		us/co/manitousprings/123manitouave/1381934601
LOC0960	Marina	US	CA	416 Reservation Rd	-121.784975	36.680056999999898	93933	us/ca/marina/416reservationrd/170882460
LOC0961	Marinette	US	WI	1301 Marinette Ave	-87.648380000000003	45.092579999999899	54143	us/wi/marinette/1301marinetteave/-1684806012
LOC0962	Marquette	US	MI	1101 Us Highway 41 W	-87.4183799999999	46.542729999999899	49855	us/mi/marquette/1101ushighway41w/1971145965
LOC0963	Marshall	US	TX	5201 E End Blvd S	-94.358069999999898	32.495350000000002	75672	us/tx/marshall/5201eendblvds/-295222033
LOC0964	Marysville	US	WA	235 Beach Ave	-122.18249	48.0503959999999	98270	us/wa/marysville/235beachave/-385897864
LOC0965	McDonough	US	GA	805 Industrial Blvd	-84.177099999999896	33.425400000000003	30253	us/ga/mcdonough/805industrialblvd/540413150
LOC0966	Medford	US	OR	600 Airport Rd	-122.87769	42.369729999999898	97504	us/or/medford/600airportrd/162510138
LOC0967	Miami Beach	US	FL	1415 Collins Ave	-80.1306720299999	25.78589539	33139	us/fl/miamibeach/1415collinsave/1802864335
LOC0968	Monroe	US	LA	1475 Garrett Rd	-92.053349999999895	32.490940000000002	71202	us/la/monroe/1475garrettrd/-360920916
LOC0969	Murray	US	KY	1503 N 12th St	-88.311880000000002	36.633960000000002	42071	us/ky/murray/1503n12thst/-697821587
LOC0970	Myrtle Beach	US	SC	1105 S Ocean Blvd	-78.897999999999897	33.676400000000001	29577	us/sc/myrtlebeach/1105soceanblvd/-563846434
LOC0971	Portland	US	OR	2300 N Hayden Island Dr	-122.690974	45.615383999999899	97217	us/or/portland/2300nhaydenislanddr/1083841219
LOC0972	Portland	US	OR	5736 NE 33rd Ave	-122.630045999999	45.564565000000002	97211	us/or/portland/5736ne33rdave/-1330444334
LOC0973	Puyallup	US	WA	2101 N Meridian	-122.29389	47.208492	98371	us/wa/puyallup/2101nmeridian/-2041380321
LOC0974	Raleigh	US	NC	3401 Capital Blvd	-78.586789999999894	35.826700000000002	27604	us/nc/raleigh/3401capitalblvd/467286692
LOC0975	Rancho Santa Fe	US	CA	5921 Valencia Cir	-117.186136	32.990958999999897	92067	us/ca/ranchosantafe/5921valenciacir/359754519
LOC0976	Red Bluff	US	CA	250 S Main St	-122.22747	40.168590000000002	96080	us/ca/redbluff/250smainst/955808549
LOC0977	Renton	US	WA	1701 E Valley Rd	-122.21961	47.463909999999899	98057	us/wa/renton/1701evalleyrd/-634812537
LOC0978	Richmond	US	IN	455 Commerce Rd	-84.824160000000006	39.835209999999897	47374	us/in/richmond/455commercerd/907569345
LOC0979	Richmond	US	KY	2007 Colby Taylor Dr	-84.326329999999899	37.735720000000001	40475	us/ky/richmond/2007colbytaylordr/-1669733049
LOC0980	Ripton	US	VT	2430 N Branch Rd	-73.034589999999895	44.007781999999899	5766	us/vt/ripton/2430nbranchrd/-1501837959
LOC0981	Rockaway Beach	US	OR	215 S Pacific St	-123.94556	45.611260000000001		us/or/rockawaybeach/215spacificst/-1035432852
LOC0982	Saint Louis	US	MO	3660 S Lindbergh Blvd	-90.406229999999894	38.552489000000001	63127	us/mo/saintlouis/3660slindberghblvd/1894504298
LOC0983	Salina	US	KS	2403 S 9th St	-97.611959999999897	38.797139999999899	67401	us/ks/salina/2403s9thst/366152545
LOC0984	San Francisco	US	CA	524 Sutter St	-122.4092	37.789499999999897		us/ca/sanfrancisco/524sutterst/-1808541288
LOC0985	San Francisco	US	CA	649 Jones St	-122.413383999999	37.786957000000001	94102	us/ca/sanfrancisco/649jonesst/-1154855732
LOC0986	San Luis Obispo	US	CA	1656 Monterey St	-120.65297	35.287823000000003	93401	us/ca/sanluisobispo/1656montereyst/39563294
